Output Order,Index Name,In Text Name,Category,Introduced in Version,Description,Numerator/equation,Denominator,Corpus/Database,Reference,Corpus/Database Reference,Mode-Genre,Raw/Lemma,Types of Words,Raw/Log,Tokens/Types
41,Brysbaert_Concreteness_Combined_FW,Brysbaert Concreteness Combined CW,Psycholinguistic Norms,TAALES 1.0,Mean combined concreteness score,Sum of concreteness scores,number of words with concreteness scores,"Concreteness norms collected for 37,058  lemmas and 2,896 bigrams ",Brysbaert et al. (2013) ,N/A,Written Surveys,Lemma,Function Words,Raw,Tokens
42,SUBTLEXus_Freq_AW,SUBTLEXus Frequency AW,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,SUBTLEXus,"Brysbaert & New, 2009","Brysbaert & New, 2009",Spoken,Raw,All Words,Raw,Tokens
43,SUBTLEXus_Range_AW,SUBTLEXus Range AW,Word Range,TAALES 1.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,SUBTLEXus,"Brysbaert & New, 2008","Brysbaert & New, 2009",Spoken,Raw,All Words,Raw,Tokens
44,SUBTLEXus_Freq_AW_Log,SUBTLEXus Frequency AW Logarithm,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,SUBTLEXus,"Brysbaert & New, 2009","Brysbaert & New, 2009",Spoken,Raw,All Words,Log Transformed,Tokens
45,SUBTLEXus_Range_AW_Log,SUBTLEXus Range AW Logarithm,Word Range,TAALES 1.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,SUBTLEXus,"Brysbaert & New, 2008","Brysbaert & New, 2009",Spoken,Raw,All Words,Log Transformed,Tokens
46,SUBTLEXus_Freq_CW,SUBTLEXus Frequency CW,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,SUBTLEXus,"Brysbaert & New, 2009","Brysbaert & New, 2009",Spoken,Raw,Content Words,Raw,Tokens
47,SUBTLEXus_Range_CW,SUBTLEXus Range CW,Word Range,TAALES 1.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,SUBTLEXus,"Brysbaert & New, 2008","Brysbaert & New, 2009",Spoken,Raw,Content Words,Raw,Tokens
48,SUBTLEXus_Freq_CW_Log,SUBTLEXus Frequency CW Logarithm,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,SUBTLEXus,"Brysbaert & New, 2009","Brysbaert & New, 2009",Spoken,Raw,Content Words,Log Transformed,Tokens
49,SUBTLEXus_Range_CW_Log,SUBTLEXus Range CW Logarithm,Word Range,TAALES 1.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,SUBTLEXus,"Brysbaert & New, 2008","Brysbaert & New, 2009",Spoken,Raw,Content Words,Log Transformed,Tokens
50,SUBTLEXus_Freq_FW,SUBTLEXus Frequency FW,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,SUBTLEXus,"Brysbaert & New, 2009","Brysbaert & New, 2009",Spoken,Raw,Function Words,Raw,Tokens
51,SUBTLEXus_Range_FW,SUBTLEXus Range FW,Word Range,TAALES 1.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,SUBTLEXus,"Brysbaert & New, 2008","Brysbaert & New, 2009",Spoken,Raw,Function Words,Raw,Tokens
52,SUBTLEXus_Freq_FW_Log,SUBTLEXus Frequency FW Logarithm,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,SUBTLEXus,"Brysbaert & New, 2009","Brysbaert & New, 2009",Spoken,Raw,Function Words,Log Transformed,Tokens
53,SUBTLEXus_Range_FW_Log,SUBTLEXus Range FW Logarithm,Word Range,TAALES 1.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,SUBTLEXus,"Brysbaert & New, 2008","Brysbaert & New, 2009",Spoken,Raw,Function Words,Log Transformed,Tokens
54,BNC_Written_Freq_AW,BNC Written Frequency AW,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Written,Raw,All Words,Raw,Tokens
55,BNC_Written_Freq_AW_Log,BNC Written Frequency AW Logarithm,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Written,Raw,All Words,Log Transformed,Tokens
56,BNC_Written_Range_AW,BNC Written Range AW,Word Range,TAALES 1.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,British National Corpus,"BNC, 2007","BNC, 2007",Written,Raw,All Words,Raw,Tokens
57,BNC_Spoken_Freq_AW,BNC Spoken Frequency AW,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Spoken,Raw,All Words,Raw,Tokens
58,BNC_Spoken_Freq_AW_Log,BNC Spoken Frequency AW Logarithm,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Spoken,Raw,All Words,Log Transformed,Tokens
59,BNC_Spoken_Range_AW,BNC Spoken Range AW,Word Range,TAALES 1.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,British National Corpus,"BNC, 2007","BNC, 2007",Spoken,Raw,All Words,Raw,Tokens
60,BNC_Written_Freq_CW,BNC Written Frequency AW,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Written,Raw,Content Words,Raw,Tokens
61,BNC_Written_Freq_CW_Log,BNC Written Frequency CW Logarithm,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Written,Raw,Content Words,Log Transformed,Tokens
62,BNC_Written_Range_CW,BNC Written Range CW,Word Range,TAALES 1.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,British National Corpus,"BNC, 2007","BNC, 2007",Written,Raw,Content Words,Raw,Tokens
63,BNC_Spoken_Freq_CW,BNC Spoken Frequency AW,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Spoken,Raw,Content Words,Raw,Tokens
64,BNC_Spoken_Freq_CW_Log,BNC Spoken Frequency CW Logarithm,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Spoken,Raw,Content Words,Log Transformed,Tokens
65,BNC_Spoken_Range_CW,BNC Spoken Range CW,Word Range,TAALES 1.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,British National Corpus,"BNC, 2007","BNC, 2007",Spoken,Raw,Content Words,Raw,Tokens
66,BNC_Written_Freq_FW,BNC Written Frequency FW,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Written,Raw,Function Words,Raw,Tokens
67,BNC_Written_Freq_FW_Log,BNC Written Frequency FW Logarithm,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Written,Raw,Function Words,Log Transformed,Tokens
68,BNC_Written_Range_FW,BNC Written Range FW,Word Range,TAALES 1.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,British National Corpus,"BNC, 2007","BNC, 2007",Written,Raw,Function Words,Raw,Tokens
69,BNC_Spoken_Freq_FW,BNC Spoken Frequency FW,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Spoken,Raw,Function Words,Raw,Tokens
70,BNC_Spoken_Freq_FW_Log,BNC Spoken Frequency FW Logarithm,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Spoken,Raw,Function Words,Log Transformed,Tokens
71,BNC_Spoken_Range_FW,BNC Spoken Range FW,Word Range,TAALES 1.0,Mean Range (number of documents that a word occurs in) score,Sum of range scores,number of words in text with range score,British National Corpus,"BNC, 2007","BNC, 2007",Spoken,Raw,Function Words,Raw,Tokens
72,BNC_Spoken_Bigram_Normed_Freq,BNC Spoken Bigram Frequency,Ngram Frequency,TAALES 1.0,Mean Frequency Score,Sum bigram frequency score,number of bigrams in text with frequency score,British National Corpus,"BNC, 2007","BNC, 2007",Spoken,Raw,All Words,Raw,Tokens
