filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,simple_ttr_cw,simple_ttr_fw,root_ttr_aw,root_ttr_cw,root_ttr_fw,log_ttr_aw,log_ttr_cw,log_ttr_fw,maas_ttr_aw,maas_ttr_cw,maas_ttr_fw,mattr50_aw,mattr50_cw,mattr50_fw,msttr50_aw,msttr50_cw,msttr50_fw,hdd42_aw,hdd42_cw,hdd42_fw,mtld_original_aw,mtld_original_cw,mtld_original_fw,mtld_ma_bi_aw,mtld_ma_bi_cw,mtld_ma_bi_fw,mtld_ma_wrap_aw,mtld_ma_wrap_cw,mtld_ma_wrap_fw
31.txt,247,102,82,54,165,48,0.529411765,0.331983806,0.412955466,0.658536585,0.290909091,6.490104582,5.963302408,3.736794932,0.839471195,0.905204943,0.758175157,0.067091156,0.049532015,0.109053706,0.665959596,0.726060606,0.478965517,0.655,0.72,0.493333333,0.716927701,0.781484221,0.537400378,31.21028214,52.20478693,14.93316832,31.61775701,38.39277389,15.85966566,30.77732794,48.24390244,15.69090909
32.txt,258,106,95,55,163,51,0.518867925,0.368217054,0.410852713,0.578947368,0.312883436,6.599271747,5.642880936,3.994628295,0.83981146,0.879982766,0.771892118,0.066423632,0.060684533,0.103114167,0.661052632,0.683913043,0.505087719,0.62,0.64,0.533333333,0.756005382,0.756104243,0.588994994,30.04159397,24.07683486,15.75666667,29.73860681,23.8374254,15.38893865,31.0503876,25.67368421,15.54601227
33.txt,340,132,126,71,214,61,0.537878788,0.370588235,0.388235294,0.563492063,0.285046729,7.158705108,6.325182725,4.169874155,0.837681846,0.881396072,0.766099933,0.064119892,0.056468097,0.100368471,0.706185567,0.68,0.547030303,0.706666667,0.66,0.56,0.785562398,0.80514692,0.610216649,39.12597229,31.18734491,19.76284153,42.43379973,29.99859694,19.96348075,45.19117647,37.16666667,20.85981308
34.txt,293,129,111,70,182,59,0.542635659,0.37883959,0.440273038,0.630630631,0.324175824,7.536260468,6.64410597,4.373370968,0.855574775,0.902105955,0.783538087,0.058545997,0.047862389,0.095776582,0.744016393,0.748064516,0.590827068,0.744,0.79,0.573333333,0.817156637,0.831464742,0.648313111,46.78495526,47.28994083,22.75,48.5929971,39.56511198,22.92100103,49.58020478,58.30630631,23.74175824
35.txt,124,73,59,42,65,31,0.575342466,0.475806452,0.588709677,0.711864407,0.476923077,6.555593524,5.467934261,3.845076772,0.890084818,0.916648754,0.822632636,0.052505036,0.047068442,0.097835544,0.672,0.69,0.4875,0.7,0.7,0.52,0.766959279,0.765292021,0.567122076,46.45446047,59,13.71487463,26.84642857,25.81989247,12.41016548,45.25,40.66101695,14.29230769
36.txt,283,118,115,73,168,45,0.618644068,0.406360424,0.416961131,0.634782609,0.267857143,7.01437192,6.8072851,3.471825374,0.845049951,0.904219349,0.742913593,0.063198836,0.046479716,0.115528394,0.69008547,0.757272727,0.456134454,0.712,0.79,0.473333333,0.745493142,0.83433912,0.522990874,37.39895354,66.05100492,13.58530206,31.86261574,44.01923077,13.29158916,36.35335689,64.13043478,14.13095238
37.txt,370,158,143,93,227,65,0.588607595,0.386486486,0.427027027,0.65034965,0.286343612,8.21402887,7.777050693,4.314201525,0.856107628,0.913306749,0.769479397,0.056028454,0.040222615,0.097842985,0.699501558,0.755957447,0.506179775,0.688571429,0.7,0.5,0.774400893,0.825951144,0.590956065,44.01209677,52.56957697,17.4163086,42.22492578,38.73175592,17.6649945,42.55945946,53.23776224,18.29515419
38.txt,314,124,126,69,188,55,0.556451613,0.401273885,0.394904459,0.547619048,0.292553191,6.997724835,6.147008564,4.011287266,0.838398345,0.875487944,0.765277876,0.064720147,0.059280995,0.103212767,0.672377358,0.644155844,0.509352518,0.686666667,0.67,0.5,0.73972095,0.754487339,0.552940187,38.15164472,27.83998427,17.38014136,34.86066363,24.48423906,15.88017681,34.57961783,30.45238095,15.7606383
39.txt,202,101,78,58,124,43,0.574257426,0.386138614,0.5,0.743589744,0.346774194,7.106335202,6.567206798,3.861513994,0.869421209,0.931997793,0.780286393,0.056641601,0.035940173,0.1049543,0.710849673,0.813103448,0.490133333,0.71,0.82,0.5,0.77564323,0.829864838,0.579238641,42.38242624,85.176,16.96240602,36.48611111,11,14.67394965,37.44059406,79.05263158,14.66935484
4.txt,263,82,89,44,174,38,0.536585366,0.338403042,0.311787072,0.494382022,0.218390805,5.056336611,4.663990672,2.880772566,0.790846632,0.843059968,0.705087647,0.086428592,0.080507252,0.131625026,0.467383178,0.501,0.34848,0.504,0.5,0.353333333,0.664601529,0.670864105,0.472351506,13.53146556,11.65179625,9.838317168,13.34383725,11.4609246,10.57878788,13.52471483,13.30337079,10.62068966
